repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
0,0,No shift,0.9736946536895105,1.0,1.1993561943465638,0.8,0.22851125494595956,0.057666666666666665,0.0
0,1,Mild shift,1.4338357541869253,1.25,1.0763566108725178,0.8,0.23691538722694006,0.09566666666666666,0.0
0,2,Moderate shift,1.6410338373461142,1.5,1.085892402435757,0.8,0.26493030627144293,0.16366666666666665,0.001
0,3,Strong shift,1.420254552621348,1.8,0.4397482226730858,0.8,0.3415792324089605,0.275,0.016
1,0,No shift,0.8920502700872784,1.0,0.9773679066754843,0.8,0.18423368336150775,0.051333333333333335,0.0
1,1,Mild shift,0.883894046319421,1.25,0.806500334041435,0.8,0.24377068973465438,0.08433333333333333,0.0
1,2,Moderate shift,1.2819481416198792,1.5,0.7000325709695927,0.8,0.23885993054474622,0.162,0.006
1,3,Strong shift,2.1820802503873318,1.8,0.8853620382711651,0.8,0.31423244306337444,0.26166666666666666,0.025
2,0,No shift,0.9743406671497149,1.0,1.1292901699878142,0.8,0.19138141855318572,0.052,0.001
2,1,Mild shift,1.3007392428828093,1.25,0.8866830604046341,0.8,0.4150060174430739,0.093,0.002
2,2,Moderate shift,1.4284616983861385,1.5,0.7629373837787033,0.8,0.26490848180485976,0.161,0.005
2,3,Strong shift,1.617232744479812,1.8,0.7122178284852986,0.8,0.264876929444679,0.2613333333333333,0.019
3,0,No shift,1.3144320822055542,1.0,0.9589004298530388,0.8,0.21264119284891966,0.058666666666666666,0.001
3,1,Mild shift,1.3966555369910199,1.25,0.9113245550094079,0.8,0.20064645810747572,0.104,0.001
3,2,Moderate shift,1.6439586965973227,1.5,1.0448876936812006,0.8,0.1868452012345682,0.174,0.004
3,3,Strong shift,1.5752057850367185,1.8,0.5267928110769546,0.8,0.24760718960914216,0.2753333333333333,0.013
4,0,No shift,1.0024336130799694,1.0,0.6567614314377829,0.8,0.1260308440014886,0.04666666666666667,0.0
4,1,Mild shift,1.1513018000024051,1.25,0.6626407148900736,0.8,0.14873032004475661,0.08866666666666667,0.0
4,2,Moderate shift,1.3999549189922902,1.5,0.7120607492297951,0.8,0.18906681606731626,0.158,0.001
4,3,Strong shift,1.7983538915182677,1.8,0.9092094231137683,0.8,0.18133443288096102,0.25466666666666665,0.011
5,0,No shift,1.4259030206833239,1.0,1.18267781350337,0.8,0.25385204924618915,0.057666666666666665,0.001
5,1,Mild shift,1.5149788056507365,1.25,1.0010255161476684,0.8,0.2201162573940651,0.09766666666666667,0.004
5,2,Moderate shift,1.612858052540379,1.5,0.8457763529136482,0.8,0.2377204817719661,0.16566666666666666,0.01
5,3,Strong shift,1.2701213698836837,1.8,0.7392474646835255,0.8,0.2032532964317105,0.26166666666666666,0.019
6,0,No shift,1.116413809091717,1.0,1.2634679925238774,0.8,0.33925750695064305,0.055,0.0
6,1,Mild shift,1.3397851846136828,1.25,1.434107533699746,0.8,0.32029648097826563,0.098,0.0
6,2,Moderate shift,1.7011587728362914,1.5,1.5270326925928441,0.8,0.2756994702656117,0.175,0.001
6,3,Strong shift,1.89219164504129,1.8,0.0340117423370392,0.8,0.2757553185898961,0.2823333333333333,0.021
7,0,No shift,0.9603101931854511,1.0,0.933535271114898,0.8,0.25863944785479115,0.057,0.0
7,1,Mild shift,1.1771287937964467,1.25,0.9847435761975096,0.8,0.23064433417397862,0.09866666666666667,0.001
7,2,Moderate shift,1.2391685098238359,1.5,0.9724838530185432,0.8,0.17171807254640536,0.17266666666666666,0.004
7,3,Strong shift,1.6477268524116289,1.8,0.5942884357544747,0.8,0.21356364420090185,0.274,0.021
8,0,No shift,1.1829476724896453,1.0,1.0053431008692497,0.8,0.26107622717433543,0.060333333333333336,0.0
8,1,Mild shift,1.5139326414712504,1.25,0.9587023955444612,0.8,0.2582605826638233,0.09666666666666666,0.0
8,2,Moderate shift,1.8510950134928734,1.5,1.0504733947470508,0.8,0.25403401556565264,0.16866666666666666,0.005
8,3,Strong shift,1.6521369271472306,1.8,0.6083913408922212,0.8,0.2827161677631263,0.2753333333333333,0.022
9,0,No shift,1.0880302614458743,1.0,0.633800253555374,0.8,0.12305950268053671,0.051333333333333335,0.0
9,1,Mild shift,1.2824818002117249,1.25,0.7788051604816918,0.8,0.1309643934497316,0.09166666666666666,0.0
9,2,Moderate shift,1.737915470600707,1.5,0.6866577165978618,0.8,0.22282277158805602,0.16033333333333333,0.003
9,3,Strong shift,1.8355166829095748,1.8,0.823034387765819,0.8,0.16411273507243027,0.25533333333333336,0.015
