shift_index,shift,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0,No shift,Pooled associative latent class model,accuracy,modular causal minus comparator,500,0.01286799999999997,0.01204150704555054,0.013694492954449399
0,No shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,500,0.03173829264856827,0.029706793917553796,0.03376979137958275
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,500,-0.12871553991085982,-0.13333221762219685,-0.12409886219952278
0,No shift,Pooled associative latent class model,brier_score,modular causal minus comparator,500,-0.008283982080277271,-0.008584592102049978,-0.007983372058504565
0,No shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,500,-0.001043309500928211,-0.0020689379048627254,-1.768109699369679e-05
0,No shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,500,0.011210596484240788,0.009191133254320066,0.01323005971416151
0,No shift,Target-calibrated associative latent model,accuracy,modular causal minus comparator,500,0.002989999999999992,0.002466031888311137,0.0035139681116888467
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,modular causal minus comparator,500,0.007442878405144618,0.006133653796004451,0.008752103014284786
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,modular causal minus comparator,500,-0.005794515700208564,-0.010080891199410878,-0.0015081402010062488
0,No shift,Target-calibrated associative latent model,brier_score,modular causal minus comparator,500,-0.0019602717864872616,-0.0022024346976125576,-0.0017181088753619655
0,No shift,Target-calibrated associative latent model,expected_calibration_error,modular causal minus comparator,500,-0.004004450264701184,-0.004914683853659161,-0.003094216675743208
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,modular causal minus comparator,500,0.0018720045662369328,0.000776223178628454,0.0029677859538454116
0,No shift,Frozen causal latent SCM,accuracy,modular causal minus comparator,500,-0.0007859999999999994,-0.0011326322866460304,-0.0004393677133539683
0,No shift,Frozen causal latent SCM,adjusted_rand_index,modular causal minus comparator,500,-0.0019835903733790706,-0.002860019336213877,-0.001107161410544264
0,No shift,Frozen causal latent SCM,false_atrial_renal_competing,modular causal minus comparator,500,-0.0032253814654109405,-0.006615493925729645,0.0001647309949077639
0,No shift,Frozen causal latent SCM,brier_score,modular causal minus comparator,500,0.0006600092207154027,0.0005446261681555982,0.0007753922732752072
0,No shift,Frozen causal latent SCM,expected_calibration_error,modular causal minus comparator,500,0.0014179166061382435,0.0007548571613810153,0.002080976050895472
0,No shift,Frozen causal latent SCM,accuracy_any_missing,modular causal minus comparator,500,-1.2503822051506797e-05,-0.0007488792975864891,0.0007238716534834755
1,Mild shift,Pooled associative latent class model,accuracy,modular causal minus comparator,500,0.020663999999999978,0.01972355225877016,0.021604447741229795
1,Mild shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,500,0.049335321813523174,0.04709198270659926,0.051578660920447085
1,Mild shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,500,-0.16495480084938632,-0.16966478890813733,-0.16024481279063532
1,Mild shift,Pooled associative latent class model,brier_score,modular causal minus comparator,500,-0.012858856227468468,-0.013237747782914769,-0.012479964672022167
1,Mild shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,500,-0.0033224240969090112,-0.004612856596315516,-0.002031991597502506
1,Mild shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,500,0.01868473534555371,0.016907620128836485,0.02046185056227094
